Team_to,Season,fees
Bayer 04 Leverkusen,2009-2010,3800000
Al-Shabab,2009-2010,3600000
CD Cruz Azul,2009-2010,3500000
AS Roma,2009-2010,3500000
Toulouse FC,2009-2010,3500000
Feyenoord,2009-2010,3500000
Sheffield Utd.,2009-2010,3500000
Udinese Calcio,2009-2010,3500000
RC Cesena,2009-2010,3500000
Real Betis,2009-2010,3400000
Chelsea,2010-2011,118500000
Liverpool,2010-2011,89980000
FC Barcelona,2010-2011,72500000
Manchester City,2010-2011,183610000
Real Madrid CF,2010-2011,89000000
Olympique Lyonnais,2010-2011,28000000
Zenit S-Pb,2010-2011,29000000
Aston Villa,2010-2011,31200000
Rubin Kazan,2010-2011,38500000
Inter,2010-2011,40700000
AC Milan,2010-2011,30850000
FC Bayern Munich,2010-2011,17000000
Olympique de Marseille,2010-2011,41500000
Sunderland,2010-2011,23000000
VfL Wolfsburg,2010-2011,44000000
Juventus,2010-2011,47000000
FC Schalke 04,2010-2011,25000000
Lazio,2010-2011,25000000
Arsenal,2010-2011,23000000
Atlético Madrid,2010-2011,31250000
Spartak Moscow,2010-2011,25800000
